Simplified	Traditional	HTML pinyin	HTML meaning	Counter		Homophones	HSK lv	Hanzi lv	All Hanzi lv
哪		<span class="tone3">nǎ</span>	<ol><li>how</li> <li>which</li></ol>				HSK_Level_1	15	[15]
哪儿	哪兒	<span class="tone3">nǎ</span> <span class="tone5">r</span>	<ol><li>where?</li> <li>wherever</li> <li>anywhere</li></ol>				HSK_Level_1	15	[15, 1]
妈妈	媽媽	<span class="tone1">mā</span> <span class="tone5">ma</span>	<ol><li>mama</li> <li>mommy</li> <li>mother</li></ol>	个|個(<span class="tone4">gè</span>), 位(<span class="tone4">wèi</span>)			HSK_Level_1	15	[15, 15]
分钟	分鐘	<span class="tone1">fēn</span> <span class="tone1">zhōng</span>	<ol><li>minute</li></ol>				HSK_Level_1	16	[3, 16]
朋友		<span class="tone2">péng</span> <span class="tone5">you</span>	<ol><li>friend</li></ol>	个|個(<span class="tone4">gè</span>), 位(<span class="tone4">wèi</span>)			HSK_Level_1	16	[16, 12]
下雨		<span class="tone4">xià</span> <span class="tone3">yǔ</span>	<ol><li>to rain</li></ol>				HSK_Level_1	17	[1, 17]
岁	歲	<span class="tone4">suì</span>	<ol><li>classifier for years (of age)</li> <li>year</li> <li>year (of crop harvests)</li></ol>			<span class="nobr">碎</span>	HSK_Level_1	17	[17]
读	讀	<span class="tone2">dú</span>	<ol><li>to read</li> <li>to study</li> <li>reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]</li></ol>				HSK_Level_1	18	[18]
买	買	<span class="tone3">mǎi</span>	<ol><li>to buy</li> <li>to purchase</li></ol>				HSK_Level_1	18	[18]
谢谢	謝謝	<span class="tone4">xiè</span> <span class="tone5">xie</span>	<ol><li>to thank</li> <li>thanks</li> <li>thank you</li></ol>				HSK_Level_1	18	[18, 18]
喝		<span class="tone1">hē</span>	<ol><li>to drink</li> <li>My goodness!</li></ol>			<span class="nobr">呵</span>	HSK_Level_1	18	[18]
小姐		<span class="tone3">xiǎo</span> <span class="tone5">jie</span>	<ol><li>young lady</li> <li>miss</li> <li>(slang) prostitute</li></ol>	个|個(<span class="tone4">gè</span>), 位(<span class="tone4">wèi</span>)			HSK_Level_1	19	[1, 19]
米饭	米飯	<span class="tone3">mǐ</span> <span class="tone4">fàn</span>	<ol><li>(cooked) rice</li></ol>				HSK_Level_1	19	[13, 19]
块	塊	<span class="tone4">kuài</span>	<ol><li>lump (of earth)</li> <li>chunk</li> <li>piece</li> <li>classifier for pieces of cloth, cake, soap etc</li> <li>(coll.) classifier for money and currency units</li></ol>			<span class="nobr">快</span>	HSK_Level_1	19	[19]
睡觉	睡覺	<span class="tone4">shuì</span> <span class="tone4">jiào</span>	<ol><li>to go to bed</li> <li>to sleep</li></ol>				HSK_Level_1	19	[19, 6]
